Daily,Closing Price
16-Jul-18,164.04
13-Jul-18,167.94
12-Jul-18,159.5
11-Jul-18,158.5
10-Jul-18,161
9-Jul-18,156.5
6-Jul-18,163
5-Jul-18,160.76
4-Jul-18,161.44
3-Jul-18,167.05
2-Jul-18,168.06
29-Jun-18,166.44
28-Jun-18,164.72
27-Jun-18,164.6
26-Jun-18,165.45
25-Jun-18,165.33
22-Jun-18,164.01
21-Jun-18,167.79
20-Jun-18,173.45
19-Jun-18,179.81
14-Jun-18,180.5
13-Jun-18,183
12-Jun-18,183
11-Jun-18,188.6
7-Jun-18,184.7
6-Jun-18,188.5
5-Jun-18,181
4-Jun-18,175.5
1-Jun-18,172.91
31-May-18,171.19
30-May-18,169.46
29-May-18,173.5
28-May-18,170.23
25-May-18,170.61
24-May-18,175
23-May-18,175.65
22-May-18,175.45
21-May-18,171.25
18-May-18,168.5
17-May-18,167.5
16-May-18,170.01
15-May-18,170.01
14-May-18,170
11-May-18,176.2
10-May-18,174.5
9-May-18,175.11
8-May-18,177.99
7-May-18,178.01
4-May-18,181.75
3-May-18,184.98
2-May-18,191.75
30-Apr-18,194
27-Apr-18,196.5
26-Apr-18,195.97
25-Apr-18,198.75
24-Apr-18,201.5
23-Apr-18,198
20-Apr-18,195.99
19-Apr-18,201
18-Apr-18,199.29
17-Apr-18,206
16-Apr-18,209
13-Apr-18,210
12-Apr-18,210.5
11-Apr-18,215.5
10-Apr-18,216.01
9-Apr-18,217.5
6-Apr-18,218.99
5-Apr-18,219
4-Apr-18,209.5
3-Apr-18,207.4
2-Apr-18,209.01
30-Mar-18,212.15
29-Mar-18,208.5
28-Mar-18,209
27-Mar-18,210.98
26-Mar-18,213
22-Mar-18,214.71
21-Mar-18,211.89
20-Mar-18,204.92
19-Mar-18,199.52
16-Mar-18,201.78
15-Mar-18,202
14-Mar-18,200
13-Mar-18,205
12-Mar-18,205.64
9-Mar-18,204.9
8-Mar-18,203.47
7-Mar-18,206.5
6-Mar-18,208.8
5-Mar-18,212.86
2-Mar-18,210.01
1-Mar-18,208.14
28-Feb-18,208.5
27-Feb-18,209.7
26-Feb-18,207
23-Feb-18,210
22-Feb-18,210.65
21-Feb-18,207.99
20-Feb-18,208
19-Feb-18,212
16-Feb-18,213.5
15-Feb-18,204.65
14-Feb-18,204.49
13-Feb-18,197.82
12-Feb-18,191.01
9-Feb-18,196
8-Feb-18,194
7-Feb-18,194.61
6-Feb-18,194.95
2-Feb-18,197.48
1-Feb-18,197.5
31-Jan-18,194.02
30-Jan-18,194.6
29-Jan-18,204.99
26-Jan-18,201.9
25-Jan-18,208.68
24-Jan-18,210.75
23-Jan-18,205
22-Jan-18,209
19-Jan-18,207.09
18-Jan-18,203.49
17-Jan-18,201
16-Jan-18,197.5
15-Jan-18,190.47
12-Jan-18,194.8
11-Jan-18,193.41
10-Jan-18,192.09
9-Jan-18,188.3
8-Jan-18,192.08
5-Jan-18,185.87
4-Jan-18,181.7
3-Jan-18,176.9
2-Jan-18,179.67
1-Jan-18,174.25
